"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2018&sourcekey=0"
"Wed Jan 23 2019 09:21:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Natural Gas,"Energy Use: Total: Natural Gas": Reference case,2-AEO2018.133.ref2018-d121317a,"quads",26.116993,25.266476,26.618416,27.297691,27.134123,27.220901,27.481777,27.687641,27.502136,27.58547,27.62138,27.820271,28.110895,28.289282,28.386423,28.530838,28.615568,28.722933,28.940676,29.059698,29.233946,29.47971,29.64459,29.8255,30.06868,30.291418,30.535439,30.742357,30.820866,30.978889,31.162506,31.356596,31.589962,31.736528,32.028866,"0.7%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Total: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2018.134.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Total: Lease and Plant Fuel": Reference case,2-AEO2018.135.ref2018-d121317a,"quads",1.648689,1.670296,1.786715,1.882467,1.937797,1.973096,1.99842,2.018893,2.038713,2.056597,2.084715,2.100262,2.122325,2.130246,2.138379,2.145393,2.149571,2.15038,2.162095,2.167143,2.178218,2.199737,2.20333,2.213326,2.236494,2.244883,2.253572,2.262454,2.267739,2.267341,2.274012,2.286206,2.296753,2.302471,2.311846,"1.0%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Total: Liquefaction": Reference case,2-AEO2018.136.ref2018-d121317a,"quads",0.019357,0.069542,0.115195,0.201564,0.314271,0.327013,0.347733,0.389173,0.43752,0.47896,0.506587,0.534213,0.548027,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,0.554933,"6.5%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Total: Pipeline Natural Gas": Reference case,2-AEO2018.137.ref2018-d121317a,"quads",0.703317,0.63503,0.665127,0.681495,0.683776,0.680327,0.686263,0.692035,0.69709,0.70089,0.697811,0.700854,0.703489,0.704967,0.703187,0.703592,0.705288,0.704845,0.706513,0.708367,0.712036,0.713813,0.715409,0.717199,0.717391,0.718929,0.72312,0.727185,0.728779,0.732292,0.735375,0.73657,0.739998,0.742767,0.747145,"0.5%"
Natural Gas Subtotal,"Energy Use: Total: Natural Gas Subtotal": Reference case,2-AEO2018.138.ref2018-d121317a,"quads",28.488356,27.641342,29.185452,30.063217,30.069967,30.201336,30.514193,30.787743,30.675461,30.821917,30.910492,31.1556,31.484735,31.679428,31.782921,31.934757,32.02536,32.133091,32.36422,32.490143,32.679134,32.948193,33.118263,33.310959,33.577499,33.810165,34.067066,34.28693,34.372318,34.533455,34.726826,34.934303,35.181644,35.3367,35.642792,"0.8%"
Metallurgical Coal,"Energy Use: Total: Metallurgical Coal": Reference case,2-AEO2018.139.ref2018-d121317a,"quads",0.4702,0.5233,0.4575,0.450339,0.489366,0.471424,0.436016,0.426096,0.436419,0.442796,0.44516,0.450929,0.456103,0.451199,0.46567,0.476082,0.480758,0.491432,0.498715,0.507678,0.508721,0.518563,0.516126,0.516484,0.517197,0.520041,0.519462,0.521442,0.516759,0.513712,0.510887,0.512481,0.517527,0.516357,0.510288,"-0.1%"
Other Coal,"Energy Use: Total: Other Coal": Reference case,2-AEO2018.140.ref2018-d121317a,"quads",13.712889,13.690446,13.551774,13.013181,12.95501,12.59683,12.261604,12.315322,12.708363,12.854898,13.036266,13.015639,12.94983,12.982667,12.987065,12.870214,12.785386,12.732678,12.700973,12.667619,12.694902,12.671799,12.676551,12.68642,12.63837,12.618868,12.529516,12.515868,12.619612,12.623515,12.558104,12.555964,12.537667,12.628061,12.654591,"-0.2%"
Coal-to-Liquids Heat and Power,"Energy Use: Total: Coal-to-Liquids Heat and Power": Reference case,2-AEO2018.141.ref2018-d121317a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Total: Net Coal Coke Imports": Reference case,2-AEO2018.142.ref2018-d121317a,"quads",-0.0191,-0.0159,-0.028976,-0.023348,-0.025261,-0.024344,-0.028721,-0.025566,-0.025276,-0.023809,-0.022798,-0.021703,-0.02074,-0.019914,-0.019145,-0.018367,-0.017714,-0.01711,-0.016565,-0.016167,-0.015824,-0.015571,-0.01541,-0.015386,-0.015124,-0.014813,-0.014612,-0.01466,-0.014631,-0.0146,-0.0145,-0.014353,-0.014127,-0.014135,-0.014162,"-0.4%"
Coal Subtotal,"Energy Use: Total: Coal Subtotal": Reference case,2-AEO2018.143.ref2018-d121317a,"quads",14.163988,14.197846,13.980297,13.44017,13.419115,13.043911,12.6689,12.715852,13.119506,13.273886,13.458629,13.444865,13.385193,13.413953,13.433591,13.32793,13.248429,13.207001,13.183122,13.15913,13.187799,13.17479,13.177267,13.187518,13.140444,13.124097,13.034367,13.02265,13.12174,13.122627,13.054491,13.054093,13.041066,13.130283,13.150717,"-0.2%"
Nuclear / Uranium,"Energy Use: Total: Nuclear": Reference case,2-AEO2018.144.ref2018-d121317a,"quads",8.41234,8.287642,8.336771,8.243436,7.998315,7.962131,7.986127,7.793252,7.728516,7.516317,7.423123,7.423005,7.412681,7.386035,7.278994,7.20351,7.212718,7.185739,7.020208,6.993385,6.914237,6.90416,6.917067,6.93979,6.963419,6.964141,6.946582,6.929029,6.91466,6.85579,6.798234,6.768588,6.755948,6.755948,6.641244,"-0.7%"
Biofuels Heat and Coproducts,"Energy Use: Total: Biofuels Heat and Coproducts": Reference case,2-AEO2018.145.ref2018-d121317a,"quads",0.82951,0.816852,0.810672,0.849826,0.850843,0.852107,0.85361,0.85493,0.848787,0.857991,0.852363,0.853823,0.860123,0.861373,0.863222,0.859328,0.861756,0.859228,0.861106,0.86265,0.862646,0.862639,0.862639,0.862624,0.85708,0.858405,0.857001,0.845871,0.845372,0.842652,0.83566,0.831985,0.830595,0.828966,0.825093,"0.0%"
Renewable Energy,"Energy Use: Total: Renewable Energy": Reference case,2-AEO2018.146.ref2018-d121317a,"quads",7.554412,8.00264,7.907512,8.613237,9.57725,10.049235,10.300454,10.405063,10.516644,10.632485,10.735827,10.841405,10.947624,11.05766,11.253632,11.481425,11.712473,11.961304,12.233895,12.530359,12.713284,12.883792,13.09285,13.247482,13.356778,13.47777,13.617588,13.77534,13.941872,14.169143,14.444577,14.639256,14.784082,14.899526,15.014319,"1.9%"
Hydrogen,"Energy Use: Total: Hydrogen": Reference case,2-AEO2018.147.ref2018-d121317a,"quads",0.000531,0.000804,0.001604,0.002753,0.004606,0.006974,0.009575,0.012144,0.014865,0.017935,0.020823,0.023317,0.025422,0.027414,0.029328,0.031103,0.032771,0.034352,0.035864,0.037282,0.038664,0.03993,0.041101,0.042174,0.043233,0.044232,0.045195,0.046112,0.04703,0.04797,0.048937,0.049944,0.050994,0.052089,0.05326,"13.5%"
Non-biogenic Municipal Waste,"Energy Use: Total: Non-biogenic Municipal Waste": Reference case,2-AEO2018.148.ref2018-d121317a,"quads",0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,0.132493,"0.0%"
Electricity Imports,"Energy Use: Total: Electricity Imports": Reference case,2-AEO2018.149.ref2018-d121317a,"quads",0.241284,0.219666,0.211847,0.203689,0.196993,0.194811,0.187973,0.188565,0.186192,0.187911,0.186685,0.192714,0.19375,0.19561,0.196814,0.197429,0.196488,0.19585,0.19468,0.194408,0.19511,0.192342,0.194239,0.193721,0.19295,0.19244,0.191903,0.191368,0.190831,0.190132,0.189319,0.188683,0.188087,0.18746,0.18684,"-0.5%"
Total,"Energy Use: Total: Total": Reference case,2-AEO2018.150.ref2018-d121317a,"quads",96.90847,96.804184,99.00351,99.916519,100.256256,100.236366,100.159927,100.125061,100.233673,100.103073,100.052589,100.200096,100.429993,100.603027,100.697792,100.835449,100.978973,101.200478,101.454781,101.801956,102.149231,102.595428,103.106865,103.549149,103.977882,104.416901,104.796013,105.261253,105.741898,106.220337,106.729218,107.308533,107.896667,108.475632,109.026741,"0.4%"
Energy Use & Related Statistics,,2-AEO2018.152.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered Energy Use,"Energy Use & Related Statistics: Delivered Energy Use": Reference case,2-AEO2018.153.ref2018-d121317a,"quads",71.627655,72.104797,74.128349,74.736542,75.04068,75.146477,75.13575,75.155052,75.114273,74.933456,74.804344,74.871841,75.022507,75.096947,75.183983,75.335571,75.442413,75.584976,75.764938,75.981689,76.230301,76.561707,76.957291,77.27993,77.62001,77.99395,78.328117,78.716728,79.115562,79.533829,79.954796,80.431519,80.926392,81.400528,81.906631,"0.4%"
Total Energy Use,"Energy Use & Related Statistics: Total Energy Use": Reference case,2-AEO2018.154.ref2018-d121317a,"quads",96.90847,96.804184,99.00351,99.916519,100.256256,100.236366,100.159927,100.125061,100.233673,100.103073,100.052589,100.200096,100.429993,100.603027,100.697792,100.835449,100.978973,101.200478,101.454781,101.801956,102.149231,102.595428,103.106865,103.549149,103.977882,104.416901,104.796013,105.261253,105.741898,106.220337,106.729218,107.308533,107.896667,108.475632,109.026741,"0.4%"
Ethanol Consumed in Motor Gasoline and E85,"Energy Use & Related Statistics: Ethanol Consumed in Motor Gasoline and E85": Reference case,2-AEO2018.155.ref2018-d121317a,"quads",1.212958,1.218153,1.248022,1.2484,1.232781,1.23046,1.223329,1.216991,1.20984,1.206218,1.18793,1.180255,1.163109,1.145723,1.124649,1.094998,1.074829,1.067036,1.065001,1.064856,1.064859,1.064942,1.064984,1.06492,1.064922,1.064934,1.064927,1.067581,1.06781,1.094117,1.119799,1.142683,1.142701,1.14262,1.143644,"-0.2%"
Population (millions),"Energy Use & Related Statistics: Population": Reference case,2-AEO2018.156.ref2018-d121317a,"millions",323.667725,325.915863,328.517517,331.144135,333.761902,336.365417,338.952057,341.518585,344.062317,346.579285,349.068634,351.52121,353.934662,356.305084,358.630157,360.908234,363.138489,365.320801,367.455505,369.544342,371.592224,373.600464,375.571045,377.5065,379.410187,381.285461,383.136169,384.966003,386.779297,388.580353,390.374603,392.164795,393.9505,395.73526,397.524506,"0.6%"
Gross Domestic Product (billion 2009 dollars),"Energy Use & Related Statistics: Gross Domestic Product": Reference case,2-AEO2018.157.ref2018-d121317a,"billion 2009 $",16716.150391,17074.880859,17501.398438,17928.921875,18334.908203,18719.169922,19122.580078,19495.443359,19852.296875,20220.681641,20609.1875,21038.792969,21493.265625,21953.880859,22420.908203,22896.136719,23368.679688,23833.414062,24314.869141,24801.535156,25298.800781,25795.578125,26290.097656,26809.546875,27355.546875,27910.398438,28471.345703,29052.351562,29626.009766,30204.054688,30785.289062,31403.539062,31998.242188,32583.679688,33204.808594,"2.0%"
Carbon Dioxide Emissions (million metric,,2-AEO2018.158.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tons carbon dioxide),"Energy Use & Related Statistics: Carbon Dioxide Emissions": Reference case,2-AEO2018.159.ref2018-d121317a,"MMmtCO2",5173.960449,5150.503906,5256.842773,5229.712891,5186.887207,5136.32373,5087.94043,5077.725098,5085.529785,5079.057129,5074.818848,5067.150391,5062.068848,5059.814941,5053.151855,5043.03418,5030.085449,5022.008301,5024.732422,5023.947266,5035.44043,5045.253418,5055.958008,5067.516602,5080.412109,5094.998047,5104.822754,5122.163086,5144.178711,5158.992188,5170.995117,5192.442383,5217.349609,5247.441895,5278.694336,"0.1%" 
